Region,Loc,CATEGORY,BRAND,PACK,RTM,Period,ACT-2017,ACT-2018,BP-2018,,
Center,FSD,SPARKLING,COCA COLA ZERO,1500ml PET,Indirect,YTD,1959.115,1138.068,3995.295413,,
Center,FSD,SPARKLING,COCA COLA ZERO,250ml CAN,Direct,MTD,,2.642,,,
Center,FSD,SPARKLING,COCA COLA ZERO,250ml CAN,Direct,TODAY,,2.642,,,
Center,FSD,SPARKLING,COCA COLA ZERO,250ml CAN,Direct,WTD,,2.642,,,
Center,FSD,SPARKLING,COCA COLA ZERO,250ml CAN,Direct,YTD,,1311.391,,,
Center,FSD,SPARKLING,COCA COLA ZERO,250ml CAN,Indirect,MTD,15.849,136.267,189.6571574,,
Center,FSD,SPARKLING,COCA COLA ZERO,250ml CAN,Indirect,TODAY,0.528,,41.06679266,,
Center,FSD,SPARKLING,COCA COLA ZERO,250ml CAN,Indirect,WTD,15.849,136.267,189.6571574,,
Center,FSD,SPARKLING,COCA COLA ZERO,250ml CAN,Indirect,YTD,1203.458,771.241,3908.970648,,
Center,FSD,SPARKLING,COCA COLA ZERO,500ml PET,Direct,MTD,7.397,6.341,,,
Center,FSD,SPARKLING,COCA COLA ZERO,500ml PET,Direct,TODAY,,6.341,,,
Center,FSD,SPARKLING,COCA COLA ZERO,500ml PET,Direct,WTD,7.397,6.341,,,
Center,FSD,SPARKLING,COCA COLA ZERO,500ml PET,Direct,YTD,9.51,72.914,,,
Center,FSD,SPARKLING,COCA COLA ZERO,500ml PET,Indirect,MTD,11.626,13.74,28.13038297,,
Center,FSD,SPARKLING,COCA COLA ZERO,500ml PET,Indirect,TODAY,2.114,,6.091120529,,
Center,FSD,SPARKLING,COCA COLA ZERO,500ml PET,Indirect,WTD,11.626,13.74,28.13038297,,
Center,FSD,SPARKLING,COCA COLA ZERO,500ml PET,Indirect,YTD,599.203,334.997,557.8922173,,
Center,FSD,SPARKLING,COCA COLA ZERO,BIB,Direct,MTD,,67.629,,,
Center,FSD,SPARKLING,COCA COLA ZERO,BIB,Direct,TODAY,,45.086,,,
Center,FSD,SPARKLING,COCA COLA ZERO,BIB,Direct,WTD,,67.629,,,
Center,FSD,SPARKLING,COCA COLA ZERO,BIB,Direct,YTD,,225.43,,,
Center,FSD,SPARKLING,COCA COLA ZERO,BIB,Indirect,MTD,,,25.27777208,,
Center,FSD,SPARKLING,COCA COLA ZERO,BIB,Indirect,TODAY,,,5.473439754,,
Center,FSD,SPARKLING,COCA COLA ZERO,BIB,Indirect,WTD,,,25.27777208,,
Center,FSD,SPARKLING,COCA COLA ZERO,BIB,Indirect,YTD,,,785.6745255,,
Center,FSD,SPARKLING,COCA-COLA,1000ml PET,Direct,MTD,,570.629,,,
Center,FSD,SPARKLING,COCA-COLA,1000ml PET,Direct,TODAY,,570.629,,,
Center,FSD,SPARKLING,COCA-COLA,1000ml PET,Direct,WTD,,570.629,,,
Center,FSD,SPARKLING,COCA-COLA,1000ml PET,Direct,YTD,45289.909,2787.63,,,
Center,FSD,SPARKLING,COCA-COLA,1000ml PET,Indirect,MTD,51374.819,76957.471,55076.37577,,
Center,FSD,SPARKLING,COCA-COLA,1000ml PET,Indirect,TODAY,10896.326,605.526,11925.783,,
Center,FSD,SPARKLING,COCA-COLA,1000ml PET,Indirect,WTD,51374.819,76957.471,55076.37577,,
Center,FSD,SPARKLING,COCA-COLA,1000ml PET,Indirect,YTD,1216288.612,1152866.632,1144601.527,,
Center,FSD,SPARKLING,COCA-COLA,1500ml PET,Direct,MTD,830.581,109.37,,,
Center,FSD,SPARKLING,COCA-COLA,1500ml PET,Direct,TODAY,206.06,14.265,,,
Center,FSD,SPARKLING,COCA-COLA,1500ml PET,Direct,WTD,830.581,109.37,,,
Center,FSD,SPARKLING,COCA-COLA,1500ml PET,Direct,YTD,32720.798,17339.19,,,
Center,FSD,SPARKLING,COCA-COLA,1500ml PET,Indirect,MTD,87156.031,154775.854,107904.2043,,
Center,FSD,SPARKLING,COCA-COLA,1500ml PET,Indirect,TODAY,17169.357,1252.21,23364.68417,,
Center,FSD,SPARKLING,COCA-COLA,1500ml PET,Indirect,WTD,87156.031,154775.854,107904.2043,,
Center,FSD,SPARKLING,COCA-COLA,1500ml PET,Indirect,YTD,2184237.603,2160168.616,2225658.434,,
Center,FSD,SPARKLING,COCA-COLA,2000ml PET,Indirect,YTD,8.452,,,,
Center,FSD,SPARKLING,COCA-COLA,2250ml PET,Direct,MTD,,68779.789,,,
